,X,height,weight
246,246,173.32,55.78
247,247,165.65,52.33
248,248,175.67,54.81
249,249,171.71,54.65
250,250,170.91,56.19
251,251,169.78,53.1
252,252,172.93,57.97
253,253,169.09,52.89
254,254,178.23,55.26
255,255,172.34,56.17
256,256,169.22,49.31
257,257,161.77,47.41
258,258,172.81,59.91
259,259,170.03,57.61
260,260,168.31,56.68
261,261,179.65,60.39
262,262,179.6,55.42
263,263,162.03,52.88
264,264,172.32,57.01
265,265,172.16,45.58
266,266,170.79,53.68
267,267,169.56,62.12
268,268,175.34,53.77
269,269,174.06,56.25
270,270,164.22,56.6
271,271,165.46,57.25
272,272,169.52,55.05
273,273,170.18,60.38
274,274,178.48,57.72
275,275,171.64,56.66
276,276,168.42,46.57
277,277,175.02,60.8
278,278,166.64,45.74
279,279,172.72,66.09
280,280,177.64,70.35
281,281,178.17,62.84
282,282,169.33,52.67
283,283,176.29,54.64
284,284,169.69,51.83
285,285,171.96,60.4
286,286,171.55,59.7
287,287,167.08,53.63
288,288,168.29,59.41
289,289,171.17,58.98
290,290,164.96,58.52
291,291,175.91,64.84
292,292,175.46,62.85
293,293,176.9,59.32
294,294,175.46,56.31
295,295,172.75,61.32
296,296,174.9,56.26
297,297,160.51,50.39
298,298,166.56,58.62
299,299,175.57,57.87
300,300,177.26,54.96
301,301,171.4,53.55
302,302,175.48,55.87
303,303,174.12,68.82
304,304,173.26,52.24
305,305,170.44,55.44
306,306,180.94,58.54
307,307,175.56,62.64
308,308,166.37,65.26
309,309,169.13,54.74
310,310,172.72,51.33
311,311,184.35,67.64
312,312,172.66,59.18
313,313,169.22,55.44
314,314,170.93,60.64
315,315,167.54,61.08
316,316,169.01,62.44
317,317,172.92,51.04
318,318,167.22,54.9
319,319,175.86,52.06
320,320,164.32,50
321,321,175.8,57.09
322,322,170.61,53.77
323,323,172.33,54.05
324,324,175.96,68.29
325,325,172.48,54.86
326,326,170.37,53.64
327,327,177.84,64.67
328,328,177.94,65.97
329,329,180,57.69
330,330,167.79,52.53
331,331,165.7,47.31
332,332,174.6,62.74
333,333,176.58,65.91
334,334,178.58,56.36
335,335,170.94,56.26
336,336,171.72,57.15
337,337,172.35,62.88
338,338,168.82,55.06
339,339,175.06,51.76
340,340,173.91,58.62
341,341,176.58,62.31
342,342,178.41,60.93
343,343,172.36,57.85
344,344,172.73,52.4
345,345,170.54,59.61
346,346,172.97,57.8
347,347,175.24,56.95
348,348,176.09,54.35
349,349,178.04,63.81
350,350,174.61,62.02
351,351,163.03,53.67
352,352,167.87,58.69
353,353,175.88,68.89
354,354,176.95,54.75
355,355,173.81,61.65
356,356,173.45,58.92
357,357,176.22,59.69
358,358,173.62,63.14
359,359,178.74,57.82
360,360,166.95,59.71
361,361,168.9,55.65
362,362,179.87,63.52
363,363,171.13,64.64
364,364,172.2,62.26
365,365,173.13,57.1
366,366,174.9,65.05
367,367,171.99,55.55
368,368,164.24,49.2
369,369,166.97,45.6
370,370,173.8,52.61
371,371,174.98,63.66
372,372,173.42,56.94
373,373,175.72,60.85
374,374,184.43,61.82
375,375,167.75,57.93
376,376,175.84,55.78
377,377,174.95,52.7
378,378,168.81,56.42
379,379,176.03,56.98
380,380,171.66,48.74
381,381,176.32,64.79
382,382,171.37,53.79
383,383,168.78,53.9
384,384,174.66,59.74
385,385,161.97,54.07
386,386,175.35,57.13
387,387,168.88,57.36
388,388,169.53,51.44
389,389,171.94,52.48
390,390,169.39,59.01
391,391,170.25,56.83
392,392,167.41,53.08
393,393,177.88,62.21
394,394,175.95,67.7
395,395,178,68.43
396,396,164.87,53
397,397,177.01,62.59
398,398,171.62,57.81
399,399,162.19,54.7
400,400,181.91,65.35
401,401,165.07,47.92
402,402,164.1,54.43
403,403,165.82,57.06
404,404,171.96,49.94
405,405,179.98,60.92
406,406,173.15,52.32
407,407,171.32,56.67
408,408,180.45,52.73
409,409,172.29,60.43
410,410,170.57,49.26
411,411,173.49,60.88
412,412,166.15,59.44
413,413,174.42,59.27
414,414,177.97,57.57
415,415,175.6,54.09
416,416,170.23,47.82
417,417,166.43,60.92
418,418,178.3,60.11
419,419,171.88,57.1
420,420,177.12,57.24
421,421,171.75,64.49
422,422,179.82,56.44
423,423,176.93,55.43
424,424,169.5,55.82
425,425,171.65,59.53
426,426,165.74,56.31
427,427,179.61,58.16
428,428,181.04,61.99
429,429,169.06,53.48
430,430,172.83,55.04
431,431,173.02,54.03
432,432,180.94,57.33
433,433,169.99,58.55
434,434,180.6,61.06
435,435,176.31,66.17
436,436,174.19,58.98
437,437,176.79,59.88
438,438,175.39,57.74
439,439,173.45,56.78
440,440,175.9,61.04
441,441,173.33,55.24
442,442,171.92,56.93
443,443,174.86,66.12
444,444,176.58,54.32
445,445,170.12,50.51
446,446,182.89,62.82
447,447,171.31,61.16
448,448,167.8,52.78
449,449,166.56,56.15
450,450,173.49,62.04
451,451,180.41,69.35
452,452,179.75,57.24
453,453,171.47,65.71
454,454,176.55,61.23
455,455,168.77,49.29
456,456,174.17,50.06
457,457,170.21,62.64
458,458,174.5,54.14
459,459,173.3,52.24
460,460,178.83,59.96
461,461,166.89,57.71
462,462,173.94,60.84
463,463,169.24,56.61
464,464,169.78,56.2
465,465,177.54,60.5
466,466,171.84,60.77
467,467,173.51,59
468,468,177.16,62.56
469,469,174.19,57.35
470,470,173.09,59.71
471,471,172.67,59.68
472,472,164.66,53.28
473,473,175.79,57.17
474,474,175.93,57.76
475,475,180.19,64.54
476,476,175.46,63.17
477,477,168.15,49.98
478,478,180.49,59.78
479,479,175.25,58.53
480,480,180.24,56.33
481,481,167.7,57.32
482,482,177.45,67.6
483,483,169.74,64.4
484,484,175.5,57.6
485,485,169.71,55.42
486,486,170.51,51.04
487,487,164.02,60.82
488,488,174.45,54.67
489,489,171.54,52.45
490,490,180.79,58.29
491,491,179.16,61.05
492,492,181.7,53.61
493,493,169.6,48.09
494,494,168.49,57.25
495,495,164.67,51.81
496,496,173.69,59.02
497,497,172.85,55.86
498,498,175.49,55.65
499,499,177.57,56.94
500,500,173.75,50.61
501,501,173.55,56.87
502,502,170.07,54.35
503,503,179.19,60.07
504,504,176.22,60.1
505,505,171.5,53.21
506,506,164.77,46.14
507,507,175.6,58.18
508,508,174.78,60.72
509,509,171.61,57.87
510,510,173.15,57.81
511,511,167.15,63.15
512,512,164.9,51.61
513,513,173.62,66.83
514,514,169.46,60.09
515,515,175.72,60.16
516,516,167.36,47.61
517,517,167.73,57.77
518,518,176.38,59.22
519,519,170.56,58.25
520,520,166.86,55.52
521,521,169.02,54.86
522,522,175.37,66.82
523,523,171.76,53.22
524,524,176.76,60
525,525,173.03,53.53
526,526,180.92,56.05
527,527,168.74,59.06
528,528,168.45,55.67
529,529,172.79,48.86
530,530,173.45,53.72
531,531,169.97,56.92
532,532,182.31,67.32
533,533,167.76,68.08
534,534,175.3,57.56
535,535,174.52,58.31
536,536,165.13,53.65
537,537,167.79,56.8
538,538,180.76,67.62
539,539,171.58,48.63
540,540,174.84,60.57
541,541,173.02,56.56
542,542,172.48,51.05
543,543,171.81,57.91
544,544,177.25,60.78
545,545,172.72,62.79
546,546,176.31,57.1
547,547,178.89,58.7
548,548,171.89,60.75
549,549,172.42,48.07
550,550,172.9,57.56
551,551,170.17,55.23
552,552,181.81,68.28
553,553,163.49,52.55
554,554,172.54,56.84
555,555,177.59,59.62
556,556,177.64,58.47
557,557,169.67,58.49
558,558,178.08,67.12
559,559,175.13,47.74
560,560,172.79,50.08
561,561,176.18,53.74
562,562,173.86,55.64
563,563,166.89,56.57
564,564,176.67,61.5
565,565,167.25,52.75
566,566,174.75,56.79
567,567,175.36,60.3
568,568,171.1,62.66
569,569,178.71,56.4
570,570,177.52,61.93
571,571,165.49,52.1
572,572,176.3,60.08
573,573,174.01,64.84
574,574,166.92,61.04
575,575,162.52,55.55
576,576,178,69.56
577,577,173.8,57.21
578,578,173.32,61.03
579,579,172.28,60.97
580,580,168.43,53.63
581,581,177.17,54.95
582,582,166.9,59.92
583,583,169.88,62.99
584,584,170.89,50.15
585,585,179.41,69.81
586,586,177.64,56.24
587,587,167.33,60.94
588,588,184.02,62.63
589,589,177.98,67.53
590,590,171.92,57.53
591,591,167.93,53.37
592,592,177.66,67.46
593,593,173.34,58.08
594,594,174.76,58.75
595,595,169.21,56.88
596,596,178.28,58.34
597,597,166.6,56.26
598,598,174.49,68.59
599,599,164.81,48.46
600,600,177.34,65.97
601,601,168.5,55.08
602,602,178.93,59.32
603,603,177.78,61.44
604,604,178.15,56.14
605,605,170.64,59.79
606,606,173.24,53.22
607,607,172.11,58.73
608,608,164.59,55.43
609,609,168.86,51.91
610,610,170.14,52.79
611,611,166.88,63.16
612,612,169.74,55.94
613,613,168.53,60.04
614,614,178.14,64.96
615,615,178.09,60.22
616,616,173.12,55.46
617,617,170.55,47.42
618,618,180.06,64.68
619,619,173.13,59.31
620,620,180.84,65.15
621,621,172.53,64.45
622,622,165.87,48.9
623,623,168.68,47.88
624,624,181.12,56.81
625,625,175.41,48.21
626,626,167.52,53.7
627,627,176.88,61.96
628,628,180.61,66.11
629,629,168.2,58.73
630,630,167.98,49.15
631,631,172.17,54.93
632,632,169.36,61.49
633,633,177.78,62.29
634,634,180.71,56.17
635,635,174.34,58.37
636,636,175.48,60.56
637,637,172.65,48.25
638,638,167.51,51.21
639,639,167.69,57.06
640,640,180.94,63.55
641,641,171.52,64.88
642,642,180.52,66.05
643,643,173.41,58.06
644,644,170.99,60.79
645,645,175.23,63.52
646,646,173.75,66.29
647,647,170.41,59.83
648,648,169.59,55.32
649,649,166.74,59.56
650,650,165.97,58.67
651,651,173.18,56.96
652,652,179.47,69.37
653,653,167.5,56.42
654,654,176.85,61.07
655,655,173.48,52.27
656,656,177.95,53.44
657,657,173.83,56.43
658,658,175.95,60.89
659,659,171.97,58.58
660,660,180.07,60.31
661,661,179.18,66.75
662,662,181.82,70.22
663,663,173.79,57.21
664,664,176.17,60.91
665,665,178.93,60.72
666,666,171.15,58.4
667,667,171.47,55.74
668,668,174.04,50.82
669,669,169.69,50.62
670,670,183.86,67.25
671,671,174.03,61.95
672,672,179.83,60.34
673,673,168.2,52.95
674,674,173.51,56.56
675,675,170.62,55.08
676,676,172.14,55.81
677,677,171.38,62.12
678,678,172.15,55.04
679,679,175.77,68.38
680,680,177.91,64.46
681,681,179.25,61.04
682,682,168.79,60.5
683,683,171.91,61.65
684,684,176.16,54.24
685,685,179.3,69.27
686,686,170.88,63.51
687,687,173.96,65.8
688,688,170.24,54.13
689,689,167.07,55.95
690,690,167.55,50.14
691,691,173.2,50.51
692,692,183.1,63.19
693,693,169.81,60.29
694,694,175.54,60.48
695,695,164.06,51.08
696,696,170.28,56.53
697,697,175.24,55.91
698,698,179.32,64.37
699,699,178.03,52.68
700,700,166.84,59.4
701,701,170.43,59.46
702,702,167.74,57.64
703,703,175.93,55.47
704,704,169.2,52.21
705,705,173.02,57.51
706,706,177.12,64.98
707,707,162.61,56.8
708,708,168.24,49.38
709,709,184.07,63.08
710,710,168.2,46.29
711,711,181.1,65.41
712,712,180.16,65.86
713,713,173.37,61.12
714,714,164.54,61.01
715,715,166.19,50.51
716,716,175.04,54.27
717,717,168.03,53.07
718,718,167.6,57.64
719,719,175.88,65.65
720,720,173.53,55.65
721,721,178.09,60.79
722,722,174.33,56.61
723,723,172.07,61.54
724,724,164.05,54.73
725,725,164.24,56.63
726,726,167.41,60.5
727,727,167.07,56.42
728,728,170.56,61.59
729,729,183.5,65.04
730,730,174.58,59.15
731,731,171.63,57.62
732,732,178.72,63.98
733,733,161.6,48.66
734,734,168.17,55.41
735,735,168.2,50.56
736,736,177.98,62.46
737,737,176.93,64.72
738,738,168.28,51.84
739,739,172.9,58.11
740,740,170.56,60.96
741,741,174.67,63.47
742,742,173.03,55.26
743,743,166.95,50.48
744,744,175.7,61.19
745,745,178.72,60.24
746,746,179.8,53.34
747,747,180.04,61.15
748,748,169.22,68.68
749,749,177.76,58.4
750,750,170,54.43
751,751,181.5,56.9
752,752,176.95,57.91
753,753,176.05,61.67
754,754,169.16,52.68
755,755,163.07,57.57
756,756,173.31,56.95
757,757,178.03,54.85
758,758,180.28,55.6
759,759,164.93,54.11
760,760,169.93,60.21
761,761,175.76,60.19
762,762,173.77,56.33
763,763,168.44,59.9
764,764,183.22,64.69
765,765,167,58.71
766,766,177.72,58.23
767,767,165.39,51.19
768,768,171.28,55.3
769,769,168.65,53.63
770,770,170.66,58.95
771,771,171.92,50.59
772,772,172.15,64.44
773,773,161.62,55.54
774,774,168.78,55.64
775,775,182.69,53.96
776,776,172.52,63.16
777,777,172.75,64.02
778,778,172.12,54.26
779,779,175.76,61.76
780,780,170.18,53.64
781,781,170.43,62.37
782,782,177.42,58.47
783,783,171.27,55.93
784,784,173,52.29
785,785,173.47,58.86
786,786,176.41,61.59
787,787,175.47,57.9
788,788,180.13,63.01
789,789,163.08,49.47
790,790,180.6,56.45
791,791,183.1,61.71
792,792,168.02,54.57
793,793,171.52,52.62
794,794,170.63,52.33
795,795,185.24,64.32
796,796,166.47,61.38
797,797,175.48,61.21
798,798,165.84,49.04
799,799,174.08,56.68
800,800,181.17,64.73
801,801,169.88,58.12
802,802,172.5,58.11
803,803,170.19,46.92
804,804,173.42,70.72
805,805,168.16,47.55
806,806,163.18,55.1
807,807,171.29,59.8
808,808,163.83,53.64
809,809,175,61.33
810,810,178.64,63.72
811,811,163.37,50.59
812,812,170.47,58
813,813,172.75,59.1
814,814,173.36,58.08
815,815,172.13,64.7
816,816,171.3,55.76
817,817,166.97,53.4
818,818,176.9,59.31
819,819,182.7,58.52
820,820,176.26,65.49
821,821,170.55,52.49
822,822,175.63,52.79
823,823,169.94,64.32
824,824,172.31,59.86
825,825,172.96,61.27
826,826,168,57.56
827,827,180.76,58.82
828,828,171.6,60.93
829,829,177.83,54.98
830,830,184.31,64.85
831,831,169.17,56.52
832,832,174.04,54.43
833,833,168.52,63.16
834,834,175.33,59.65
835,835,175.58,59.37
836,836,173.34,58.84
837,837,173.96,55.87
838,838,179.53,62.3
839,839,178.71,62.01
840,840,171.76,53.64
841,841,176.39,52.66
842,842,172.53,56.55
843,843,173.72,54.8
844,844,168.45,47.62
845,845,180.92,65.88
846,846,165.84,49.01
847,847,167.65,59.06
848,848,171.75,53.23
849,849,175.52,61.55
850,850,175.25,57.76
851,851,175.45,68.58
852,852,173.59,50.95
853,853,174.69,62.61
854,854,168.1,49.63
855,855,183.82,63.41
856,856,169.8,56.44
857,857,167.02,59.12
858,858,177.02,68.44
859,859,168.35,49.27
860,860,168.85,48.01
861,861,174.55,64.97
862,862,173.46,51.98
863,863,171.87,56.07
864,864,181.1,63.18
865,865,170.37,52.47
866,866,179.53,66.4
867,867,181.36,69.76
868,868,180.35,62.33
869,869,168.35,57.05
870,870,172.86,63.28
871,871,162.98,57.24
872,872,169.87,51.61
873,873,179.15,58.78
874,874,166.26,52.64
875,875,175.55,63.03
876,876,172.57,57.52
877,877,170.72,57
878,878,171.8,51.43
879,879,178.04,55.83
880,880,163.61,55.74
881,881,177.23,58.04
882,882,169.12,57.95
883,883,173.1,50.04
884,884,168.1,57.96
885,885,169.66,53.53
886,886,170.6,58.77
887,887,172.77,59.17
888,888,170.07,47.58
889,889,174.51,55.55
890,890,176.99,62.66
891,891,168.98,48.81
892,892,168.83,64.07
893,893,181.47,69.62
894,894,169.23,60.95
895,895,162.59,49.68
896,896,165.18,53.09
897,897,169.6,56.3
898,898,175.06,56.72
899,899,180.92,60.35
900,900,180.6,55.54
901,901,177.31,61.09
902,902,170.41,50.49
903,903,170.89,52.93
904,904,182.54,64.85
905,905,170.69,45.27
906,906,173.84,57.95
907,907,170.7,61.91
908,908,176.19,65.86
909,909,175.37,57.39
910,910,167.4,58.07
911,911,168.78,55.64
912,912,167.84,60.37
913,913,176.16,52.89
914,914,179.92,65.25
915,915,171.87,60.03
916,916,165.89,56.16
917,917,169.34,51.25
918,918,170.01,56.15
919,919,172.06,60.69
920,920,163.26,58.05
921,921,169.76,54.94
922,922,167.38,55.59
923,923,171.85,56.81
924,924,174.47,56.57
925,925,167.84,52.82
926,926,169.96,58.84
927,927,176.49,56.12
928,928,174.24,62.36
929,929,175.8,59.29
930,930,171.79,64.31
931,931,166.96,56.96
932,932,167.89,47.3
933,933,171.84,53.03
934,934,171.69,59.69
935,935,176.73,56.84
936,936,167.87,58.7
937,937,178,58.94
938,938,165.12,59.76
939,939,175.68,64.54
940,940,176.82,57.82
941,941,181.57,69.45
942,942,176.46,57.42
943,943,175.27,51.65
944,944,176.68,60.69
945,945,174.34,57.8
946,946,170.69,57.3
947,947,167.83,54.71
948,948,168.11,57.37
949,949,179.85,60.28
950,950,170.58,57.06
951,951,165.86,54.96
952,952,175.86,58.79
953,953,175.03,58.91
954,954,183.76,55.9
955,955,173.47,62.19
956,956,173.6,57.87
957,957,171.36,60.56
958,958,174.92,51.61
959,959,169.23,61.43
960,960,164.52,55.54
961,961,171.97,53.88
962,962,185.4,60.82
963,963,180.22,56.3
964,964,172.61,59.21
965,965,170.71,56.48
966,966,168.58,58.48
967,967,171.8,55.24
968,968,177.15,57.2
969,969,173.17,60.98
970,970,169.92,59.73
971,971,171.44,46.92
972,972,168.95,52.73
973,973,169.88,55.95
974,974,177.11,68.1
975,975,177.25,61.27
976,976,166.12,50.94
977,977,172.72,62.28
978,978,183.53,60.15
979,979,179.82,57.09
980,980,165.58,64.04
981,981,171.99,61.57
982,982,177.93,61
983,983,170.95,55.28
984,984,168.65,58.14
985,985,177.13,59.18
986,986,174.54,59.67
987,987,162.27,49.2
988,988,173.76,51.9
989,989,172.55,60.48
990,990,179.57,61.55
991,991,175.14,67.09
992,992,168.9,55.95
993,993,174.23,54.74
994,994,168.31,52.67
995,995,176.75,56.13
996,996,171.09,54.05
997,997,177.01,54.09
998,998,173.84,56.44
999,999,173.94,59.29
1000,1000,166.25,53.55
1001,1001,169.69,49.66
1002,1002,177.93,63.52
1003,1003,171.29,55.07
1004,1004,171,53.28
1005,1005,172.65,61.84
1006,1006,175.36,67.49
1007,1007,171.94,56.16
1008,1008,176.03,60.52
1009,1009,166.11,53.11
1010,1010,173.63,55.99
1011,1011,166.04,53.35
1012,1012,173.65,62.17
1013,1013,180.74,58.53
1014,1014,175.91,64.51
1015,1015,169.41,58.2
1016,1016,175.71,52.23
1017,1017,173.52,54.15
1018,1018,172.25,55.14
1019,1019,174.15,64.71
1020,1020,168.23,49.88
1021,1021,175.14,55.31
1022,1022,172.38,56.54
1023,1023,172.86,54.05
1024,1024,172.06,60
1025,1025,177.38,60.26
1026,1026,163.94,53.96
1027,1027,172.55,62.75
1028,1028,172.14,56.54
1029,1029,176.31,61.6
1030,1030,172.14,52.65
1031,1031,172.21,63.06
1032,1032,172.68,62.51
1033,1033,177.75,65.46
1034,1034,162.13,49.46
1035,1035,166.55,57.63
1036,1036,176.13,56.42
1037,1037,170.9,52.06
1038,1038,174.61,60.02
1039,1039,175.34,56.8
1040,1040,176.9,58.21
1041,1041,169.42,53.33
1042,1042,172.5,51.17
1043,1043,163.5,57.16
1044,1044,167.32,53.81
1045,1045,170.37,56.82
1046,1046,176.14,56.6
1047,1047,177.37,65.92
1048,1048,167.9,52.9
1049,1049,175.93,60.03
1050,1050,173.57,52.05
1051,1051,176.23,55.66
1052,1052,175.59,59.15
1053,1053,173.85,53.95
1054,1054,168.52,60.62
1055,1055,177.88,58.25
1056,1056,178.22,62.98
1057,1057,173.19,45.88
1058,1058,178.11,63.85
1059,1059,173.81,60.98
1060,1060,168.76,58.87
1061,1061,182.19,63
1062,1062,179.64,61.25
1063,1063,172.95,58.75
1064,1064,178.13,58.5
1065,1065,167.78,58.44
1066,1066,177.22,51.07
1067,1067,173.12,57.13
1068,1068,177.58,53.62
1069,1069,165.98,55.71
1070,1070,173.62,59.06
1071,1071,163.84,51.74
1072,1072,172.61,52.45
1073,1073,174.18,62.49
1074,1074,173.03,50.85
1075,1075,174.69,62.17
1076,1076,172.53,56.6
1077,1077,175.64,61.2
1078,1078,160.54,51.83
1079,1079,175.88,55.35
1080,1080,167.35,58.61
1081,1081,172.34,58.86
1082,1082,166.56,63.63
1083,1083,169.44,54.77
1084,1084,175.7,58.51
1085,1085,175.86,62.12
1086,1086,171.63,65.79
1087,1087,176.54,63.46
1088,1088,179.33,56.23
1089,1089,169.02,61.47
1090,1090,175.55,57.87
1091,1091,177.68,65.25
1092,1092,171.97,59.77
1093,1093,175.74,61.39
1094,1094,172.22,68.57
1095,1095,171.77,56.49
1096,1096,178.74,61.28
1097,1097,180.41,61.85
1098,1098,177.41,62.46
1099,1099,170.4,51.74
1100,1100,174.3,64.14
1101,1101,163.51,50.33
1102,1102,167.48,57.25
1103,1103,165.72,60.2
1104,1104,179.11,65.59
1105,1105,169.19,49.1
1106,1106,170.52,56.23
1107,1107,169.61,58.64
1108,1108,171.94,59.49
1109,1109,172.28,50.57
1110,1110,169.25,50.57
1111,1111,171.76,63.56
1112,1112,176.96,56.86
1113,1113,163.93,51.64
1114,1114,172.77,53.09
1115,1115,168.62,62.66
1116,1116,178.28,55.43
1117,1117,164.2,60.22
1118,1118,171.42,56.19
1119,1119,182.93,65.3
1120,1120,169.2,52.3
1121,1121,167.18,52.78
1122,1122,180.75,63.25
1123,1123,174.04,60.36
1124,1124,165,54.37
1125,1125,169.88,55.77
1126,1126,178.7,60.18
1127,1127,172,54.78
1128,1128,167.72,58.79
1129,1129,175.22,62.02
1130,1130,174.25,59.4
1131,1131,169.78,60.47
1132,1132,172.81,61.78
1133,1133,164.58,59.55
1134,1134,179.2,57.17
1135,1135,173.44,52.12
1136,1136,174.69,59.03
1137,1137,170.42,59.66
1138,1138,178.16,61.45
1139,1139,166.29,54.5
1140,1140,175.32,58.5
1141,1141,162.78,54.45
1142,1142,171.65,59.87
1143,1143,175.75,59.85
1144,1144,163.79,54.13
1145,1145,174.65,61.95
1146,1146,173.87,66.95
