"","X1","Gender","Age Range","Year","Cases"
"47",19,"Female","20 - 24","2013-14",154
"48",20,"Female","25 - 29","2013-14",229
"49",21,"Female","30 - 34","2013-14",244
"50",22,"Female","35 - 39","2013-14",225
"51",23,"Female","40 - 44","2013-14",210
"52",24,"Female","45 - 49","2013-14",166
"53",25,"Female","50 - 54","2013-14",112
"54",26,"Female","55 - 59","2013-14",57
"55",27,"Female","60 - 64","2013-14",29
"56",28,"Female","65 and older","2013-14",52
"57",1,"Male","0 - 4","2014-15",63
"58",2,"Male","5 - 9","2014-15",120
"59",3,"Male","10 - 14","2014-15",107
"60",4,"Male","15 - 19","2014-15",82
"61",5,"Male","20 - 24","2014-15",74
"62",6,"Male","25 - 29","2014-15",100
"63",7,"Male","30 - 34","2014-15",78
"64",8,"Male","35 - 39","2014-15",80
"65",9,"Male","40 - 44","2014-15",91
"66",10,"Male","45 - 49","2014-15",105
"67",11,"Male","50 - 54","2014-15",80
"68",12,"Male","55 - 59","2014-15",62
"69",13,"Male","60 - 64","2014-15",45
"70",14,"Male","65 and older","2014-15",66
"71",15,"Female","0 - 4","2014-15",86
"72",16,"Female","5 - 9","2014-15",120
"73",17,"Female","10 - 14","2014-15",113
"74",18,"Female","15 - 19","2014-15",141
"75",19,"Female","20 - 24","2014-15",202
"76",20,"Female","25 - 29","2014-15",260
"77",21,"Female","30 - 34","2014-15",288
"78",22,"Female","35 - 39","2014-15",294
"79",23,"Female","40 - 44","2014-15",262
"80",24,"Female","45 - 49","2014-15",189
"81",25,"Female","50 - 54","2014-15",110
"82",26,"Female","55 - 59","2014-15",75
"83",27,"Female","60 - 64","2014-15",51
"84",28,"Female","65 and older","2014-15",63
"85",1,"Male","0 - 4","2015-16",41
"86",2,"Male","5 - 9","2015-16",107
"87",3,"Male","10 - 14","2015-16",88
"88",4,"Male","15 - 19","2015-16",74
"89",5,"Male","20 - 24","2015-16",95
"90",6,"Male","25 - 29","2015-16",101
"91",7,"Male","30 - 34","2015-16",91
"92",8,"Male","35 - 39","2015-16",82
"93",9,"Male","40 - 44","2015-16",114
"94",10,"Male","45 - 49","2015-16",114
"95",11,"Male","50 - 54","2015-16",87
"96",12,"Male","55 - 59","2015-16",60
"97",13,"Male","60 - 64","2015-16",53
"98",14,"Male","65 and older","2015-16",85
"99",15,"Female","0 - 4","2015-16",45
"100",16,"Female","5 - 9","2015-16",129
"101",17,"Female","10 - 14","2015-16",136
"102",18,"Female","15 - 19","2015-16",142
"103",19,"Female","20 - 24","2015-16",238
"104",20,"Female","25 - 29","2015-16",321
"105",21,"Female","30 - 34","2015-16",336
"106",22,"Female","35 - 39","2015-16",310
"107",23,"Female","40 - 44","2015-16",318
"108",24,"Female","45 - 49","2015-16",219
"109",25,"Female","50 - 54","2015-16",167
"110",26,"Female","55 - 59","2015-16",93
"111",27,"Female","60 - 64","2015-16",54
"112",28,"Female","65 and older","2015-16",69
"113",1,"Male","0 - 4","2016-17",29
"114",2,"Male","5 - 9","2016-17",97
"115",3,"Male","10 - 14","2016-17",100
"116",4,"Male","15 - 19","2016-17",80
"117",5,"Male","20 - 24","2016-17",90
"118",6,"Male","25 - 29","2016-17",112
"119",7,"Male","30 - 34","2016-17",120
"120",8,"Male","35 - 39","2016-17",148
"121",9,"Male","40 - 44","2016-17",134
"122",10,"Male","45 - 49","2016-17",163
"123",11,"Male","50 - 54","2016-17",118
"124",12,"Male","55 - 59","2016-17",99
"125",13,"Male","60 - 64","2016-17",63
"126",14,"Male","65 and older","2016-17",148
"127",15,"Female","0 - 4","2016-17",48
"128",16,"Female","5 - 9","2016-17",106
"129",17,"Female","10 - 14","2016-17",114
"130",18,"Female","15 - 19","2016-17",126
"131",19,"Female","20 - 24","2016-17",195
"132",20,"Female","25 - 29","2016-17",222
"133",21,"Female","30 - 34","2016-17",268
"134",22,"Female","35 - 39","2016-17",247
"135",23,"Female","40 - 44","2016-17",226
"136",24,"Female","45 - 49","2016-17",231
"137",25,"Female","50 - 54","2016-17",95
"138",26,"Female","55 - 59","2016-17",54
"139",27,"Female","60 - 64","2016-17",54
"140",28,"Female","65 and older","2016-17",82
