Gender,Age,Class,UsuallyDrink,FavBotWatBrand,Preference,First,Second,Third,Fourth
M,19,SO,T,NONE,BACD,B,A,C,D
M,19,SO,B,DASANI,BDAC,B,D,A,C
F,20,J,F,NONE,ADBC,A,D,B,C
F,19,SO,F,FIJI,BACD,B,A,C,D
M,48,O,F,FIJI,ABCD,A,B,C,D
M,21,SO,T,NONE,BACD,B,A,C,D
M,20,J,F,NONE,CBAD,C,B,A,D
F,19,SO,B,NONE,CABD,C,A,B,D
M,19,SO,F,SAM'S,ACDB,A,C,D,B
F,40,O,B,PERRIER,DACB,D,A,C,B
M,50,O,T,PERRIER,CDBA,C,D,B,A
M,23,O,B,SAM'S,BDAC,B,D,A,C
F,19,SO,NA,PROPEL,CBAD,C,B,A,D
F,19,SO,F,DEER PARK,CABD,C,A,B,D
F,19,SO,NA,DEER PARK,BACD,B,A,C,D
M,19,SO,F,SAM'S,CABD,C,A,B,D
M,22,SR,T,DEER PARK,BACD,B,A,C,D
F,20,J,B,DEER PARK,BDAC,B,D,A,C
F,21,SR,B,KIRKLAND,ADBC,A,D,B,C
F,22,SR,F,NONE,CABD,C,A,B,D
F,27,O,F,NONE,ACDB,A,C,D,B
F,20,J,T,NONE,CDAB,C,D,A,B
F,19,J,B,AQUAFINA,ACBD,A,C,B,D
M,18,J,B,DEER PARK,CABD,C,A,B,D
F,33,O,B,NONE,CDAB,C,D,A,B
F,36,P,T,NONE,CABD,C,A,B,D
F,18,F,T,NONE,CDBA,C,D,B,A
F,18,F,B,NONE,BCAD,B,C,A,D
M,18,F,T,NONE,ADCB,A,D,C,B
F,19,SO,T,DASANI,ABCD,A,B,C,D
F,9,O,B,AQUAFINA,DCBA,D,C,B,A
F,18,F,B,DASANI,ABCD,A,B,C,D
